"plot" "sp.code" "d6" "dbh" "tht" "cr" "n.stems" "expf" "crown.width"
"1" 1 "DF"  1.9  0.2  5.2  0.89 1 100 4.5
"2" 1 "DF"  1.4  0.4  6.4  0.82 1 100 5.0
"3" 2 "DF"  1.3  0.5  6.4  0.82 1 100 5.7
"4" 2 "DF"  1.4  0.2  5.4  0.80 1 100 5.9
"5" 2 "DF"  1.5  0.2  5.1  0.89 1 100 5.7
"6" 2 "DF"  1.4  0.2  5.1  0.90 1 100 4.7
"7" 2 "DF"  1.3  0.2  4.9  0.84 1 100 5.9
"8" 2 "DF"  1.2  0.2  4.7  0.81 1 100 5.0
"9" 2 "DF"  1.1  0    4.0  0.80 1 100 5.8
"10" 2 "DF" 1.7  0.7  7.5  0.93 1 100 6.8
"11" 2 "DF" 1.5  0.3  5.8  0.89 1 100 4.2
"12" 4 "DF" 1.3  0    4.3  0.89 1 100 4.5
"13" 4 "DF" 1.4  0.2  4.7  0.75 1 100 6.1
"14" 4 "DF" 2.3  0.5  7.4  0.89 1 100 6.3
"15" 4 "DF" 1.8  0.6  6.5  0.85 1 100 7.7
"16" 5 "DF" 1.3  0.2  4.8  0.77 1 100 5.4
"17" 5 "DF" 2.1  0.3  5.3  0.91 1 100 6.0
"18" 5 "DF" 1.5  0    4.0  0.92 1 100 4.0
"19" 5 "DF" 1.8  0    3.7  0.81 1 100 6.7
"20" 5 "DF" 0.8  0    3.5  0.84 1 100 4.2
"21" 5 "DF" 1.3  0.4  5.4  0.90 1 100 5.5
"22" 5 "DF" 1.0  0.2  4.6  0.77 1 100 4.5
"23" 6 "DF" 1.1  0    4.0  0.91 1 100 4.6
"24" 6 "DF" 2.4  0.8  8.6  0.81 1 100 8.1
"25" 6 "DF" 2.1  0.9  10.8 0.91 1 100 7.6
"26" 6 "DF" 1.9  0.8  8.2  0.82 1 100 7.5
"27" 6 "DF" 1.4  0.3  5.8  0.86 1 100 3.6
"28" 8 "DF" 0.9  0    4.1  0.73 1 100 3.7
"29" 8 "DF" 0.7  0    4.2  0.73 1 100 3.5
"30" 8 "DF" 0.7  0.5  6.0  0.30 1 100 2.9
"31" 8 "DF" 1.8  1.3  10.6 0.74 1 100 6.3
"32" 8 "DF" 1.3  0.4  7.4  0.68 1 100 3.8
"33" 8 "DF" 1.2  0.3  6.4  0.61 1 100 3.8
"34" 8 "DF" 2.4  1.6  9.1  0.26 1 100 8.6
"35" 9 "DF" 1.7  1.1  5.2  0.96 1 100 5.6
"36" 10 "DF" 1.4  0.3 5.4  0.77 1 100 6.2
"37" 10 "DF" 1.1  0.2 4.6  0.86 1 100 5.4
"38" 10 "DF" 1.1  0.3 5.7  0.78 1 100 6.1
"39" 10 "DF" 1.2  0.3 5.1  0.92 1 100 4.3
"40" 11 "DF" 0.4  0   3.6  0.88 1 100 2.5
"41" 11 "DF" 1.0  0   3.6  0.88 1 100 4.3
"42" 11 "DF" 1.3  0.4 6.9  0.91 1 100 6.3
"43" 12 "DF" 1.6  0.6 6.7  0.88 1 100 5.3
"44" 12 "DF" 1.3  0.5 6.1  0.91 1 100 6.1
"45" 12 "DF" 1.6  0.8 7.7  0.89 1 100 7.6
"46" 13 "DF" 1.3  0.3 5.5  0.90 1 100 5.1
"47" 14 "DF" 1.2  0.2 5.4  0.94 1 100 5.4
"48" 14 "DF" 1.5  0.6 6.9  0.73 1 100 6.2
"49" 14 "DF" 1.0  0.6 6.1  0.55 1 100 4.9
"50" 14 "DF" 1.3  0.6 5.8  0.51 1 100 4.8
"51" 15 "DF" 1.0  0.2 5.7  0.72 1 100 4.8
"52" 15 "DF" 1.4  0.4 5.5  0.87 1 100 5.9
"53" 16 "DF" 0.9  0.3 5.3  0.61 1 100 5.3
"54" 16 "DF" 0.8  0.1 4.9  0.59 1 100 4.9
"55" 16 "DF" 0.6  0   3.9  0.79 1 100 3.2
"56" 16 "DF" 0.7  0   3.6  0.61 1 100 3.8
"57" 16 "DF" 0.9  0.2 4.5  0.84 1 100 3.9
"58" 17 "DF" 2.0  1.2 10.9 0.73 1 100 9.1
