"plot" "sp.code" "d6" "dbh" "tht" "cr" "n.stems" "expf" "crown.width"
"1" 1 "PP" 4.8 2.91 11.5 0.852 1 100 7.55
"2" 1 "DF" 2.08 0.61 7.08 0.845 1 100 4.4
"3" 2 "WF" 49 35.2 77.96 0.368 1 2.96 18.72
"4" 2 "PP" 2.43 1.1 6.28 0.705 1 100 4.95
"5" 2 "COCO" 0.49 0 3.9 1 18 100 6.29
"6" 2 "DF" 1.06 0 3.88 0.794 1 100 3.2
"7" 2 "IC" 0.6 0 1.7 0.706 1 100 1.17
"8" 2 "PP" 0.51 0 1.34 0.478 1 100 1.37
"9" 2 "IC" 0.5 0 1.06 0.623 1 100 0.98
"10" 2 "IC" 0.34 0 0.76 0.474 1 100 0.6
"11" 2 "IC" 0.17 0 0.58 0.31 1 100 0.29
"12" 3 "PM" 1.56 0.98 8.8 0.852 6 100 5.25
"13" 3 "COCO" 0.68 0 7.4 1 15 100 6.1
"14" 3 "PM" 1.3 0.53 7.2 0.847 7 100 5.49
"15" 3 "WF" 1.86 0.31 4.9 0.816 1 100 3.85
"16" 3 "PM" 1.18 0.38 4.9 0.776 9 100 4.49
"17" 3 "CEIN" 0.81 0 4.7 1 10 100 4.8
"18" 3 "DF" 1.42 0.16 4.7 0.766 2 100 3.19
"19" 3 "DF" 0.97 0.16 4.69 0.829 1 100 2.39
"20" 3 "PM" 1.04 0 4.49 0.733 1 100 4.4
"21" 3 "WF" 1.19 0 4.14 0.807 1 100 2.65
"22" 3 "DF" 0.97 0 3.4 0.765 1 100 2.5
"23" 3 "DF" 0.91 0 3 0.8 1 100 2.2
"24" 3 "DF" 0.75 0 2.8 0.714 1 100 2.04
"25" 3 "WF" 0.71 0 2.74 0.745 1 100 2.59
"26" 3 "IC" 0.89 0 2.74 0.635 1 100 1.4
"27" 3 "WF" 1 0 2.6 0.808 1 100 2.2
"28" 3 "WF" 0.74 0 2.6 0.731 1 100 1.4
"29" 3 "DF" 0.65 0 2.6 0.731 1 100 1.84
"30" 3 "IC" 0.8 0 2.5 0.68 1 100 1.75
"31" 3 "DF" 0.42 0 2.5 0.68 1 100 1.4
"32" 3 "DF" 0.5 0 2.24 0.688 1 100 1.35
"33" 3 "WF" 0.82 0 2.1 0.619 1 100 1.8
"34" 3 "DF" 0.38 0 2.1 0.571 1 100 1.2
"35" 3 "DF" 0.44 0 2 0.7 1 100 1.3
"36" 3 "WF" 0.63 0 1.8 0.778 1 100 1.35
"37" 3 "IC" 0.46 0 1.8 0.333 1 100 1.14
"38" 3 "IC" 0.55 0 1.8 0.556 1 100 1.14
"39" 3 "WF" 0.49 0 1.75 0.771 1 100 1.55
"40" 3 "IC" 0.4 0 1.5 0.533 1 100 0.84
"41" 3 "DF" 0.27 0 1.4 0.786 1 100 0.99
"42" 3 "DF" 0.43 0 1.3 0.462 1 100 0.8
"43" 3 "WF" 0.49 0 1.2 0.583 1 100 1.24
"44" 3 "IC" 0.19 0 1.2 0.333 1 100 0.75
"45" 3 "WF" 0.34 0 1.1 0.545 1 100 1.25
"46" 3 "IC" 0.35 0 1 0.4 1 100 0.84
"47" 3 "IC" 0.23 0 0.9 0.444 1 100 0.4
"48" 3 "IC" 0.16 0 0.9 0.333 1 100 0.49
"49" 3 "IC" 0.34 0 0.9 0.333 1 100 0.55
"50" 3 "DF" 0.26 0 0.9 0.444 1 100 0.63
"51" 3 "IC" 0.3 0 0.8 0.375 1 100 0.42
"52" 3 "IC" 0.19 0 0.8 0.825 1 100 0.73
"53" 3 "IC" 0.14 0 0.74 0.595 1 100 0.55
"54" 3 "IC" 0.18 0 0.7 0.429 1 100 0.49
"55" 3 "IC" 0.07 0 0.6 0.5 1 100 0.14
"56" 3 "IC" 0.05 0 0.6 0.333 1 100 0.14
"57" 4 "PP" 4 2.8 10.58 0.811 1 100 7.49
"58" 4 "PM" 2.63 0.97 7.8 0.705 3 100 4.45
"59" 4 "DF" 0.28 0 4.48 0.732 1 100 2.9
"60" 4 "WF" 0.31 0 1.2 0.5 1 100 0.93
